  
       XFOIL         Version 6.99
  
 Calculated polar for: N-24                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     2.257 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4735   0.01162   0.00623  -0.0683   0.6905   0.0254
  -9.900  -0.4619   0.01147   0.00606  -0.0682   0.6883   0.0255
  -9.800  -0.4503   0.01133   0.00590  -0.0682   0.6856   0.0256
  -9.700  -0.4386   0.01120   0.00576  -0.0681   0.6827   0.0257
  -9.600  -0.4269   0.01108   0.00562  -0.0681   0.6794   0.0258
  -9.500  -0.4151   0.01098   0.00549  -0.0681   0.6760   0.0259
  -9.400  -0.4032   0.01089   0.00538  -0.0681   0.6726   0.0260
  -9.300  -0.3914   0.01078   0.00526  -0.0681   0.6704   0.0261
  -9.200  -0.3795   0.01068   0.00515  -0.0680   0.6676   0.0262
  -9.100  -0.3676   0.01059   0.00505  -0.0680   0.6641   0.0262
  -9.000  -0.3556   0.01052   0.00495  -0.0680   0.6599   0.0263
  -8.900  -0.3436   0.01045   0.00485  -0.0681   0.6552   0.0264
  -8.800  -0.3317   0.01036   0.00476  -0.0681   0.6519   0.0265
  -8.700  -0.3197   0.01029   0.00467  -0.0681   0.6477   0.0266
  -8.600  -0.3077   0.01022   0.00458  -0.0681   0.6432   0.0267
  -8.500  -0.2956   0.01016   0.00449  -0.0681   0.6381   0.0268
  -8.400  -0.2835   0.01009   0.00441  -0.0682   0.6342   0.0269
  -8.300  -0.2715   0.01002   0.00433  -0.0682   0.6310   0.0270
  -8.200  -0.2594   0.00996   0.00425  -0.0682   0.6272   0.0271
  -8.100  -0.2474   0.00990   0.00417  -0.0683   0.6230   0.0272
  -8.000  -0.2352   0.00985   0.00409  -0.0683   0.6183   0.0273
  -7.900  -0.2231   0.00979   0.00402  -0.0684   0.6150   0.0274
  -7.800  -0.2111   0.00973   0.00395  -0.0684   0.6113   0.0276
  -7.700  -0.1989   0.00968   0.00388  -0.0685   0.6068   0.0276
  -7.600  -0.1868   0.00964   0.00381  -0.0685   0.6022   0.0277
  -7.500  -0.1746   0.00959   0.00374  -0.0686   0.5980   0.0279
  -7.400  -0.1625   0.00954   0.00368  -0.0687   0.5951   0.0280
  -7.300  -0.1504   0.00948   0.00361  -0.0687   0.5915   0.0281
  -7.200  -0.1382   0.00944   0.00356  -0.0688   0.5877   0.0282
  -7.100  -0.1260   0.00941   0.00350  -0.0689   0.5833   0.0283
  -7.000  -0.1138   0.00938   0.00345  -0.0690   0.5793   0.0284
  -6.900  -0.1016   0.00933   0.00339  -0.0690   0.5764   0.0285
  -6.800  -0.0895   0.00929   0.00334  -0.0691   0.5729   0.0286
  -6.700  -0.0773   0.00926   0.00329  -0.0692   0.5691   0.0286
  -6.600  -0.0650   0.00924   0.00325  -0.0693   0.5647   0.0287
  -6.500  -0.0529   0.00920   0.00318  -0.0694   0.5608   0.0289
  -6.400  -0.0408   0.00913   0.00310  -0.0695   0.5583   0.0291
  -6.300  -0.0286   0.00907   0.00303  -0.0695   0.5556   0.0294
  -6.200  -0.0165   0.00902   0.00297  -0.0696   0.5528   0.0298
  -6.100  -0.0043   0.00897   0.00291  -0.0697   0.5501   0.0300
  -6.000   0.0079   0.00893   0.00286  -0.0698   0.5474   0.0304
  -5.900   0.0201   0.00890   0.00282  -0.0699   0.5443   0.0306
  -5.800   0.0323   0.00886   0.00277  -0.0701   0.5419   0.0309
  -5.700   0.0445   0.00882   0.00273  -0.0702   0.5405   0.0312
  -5.600   0.0567   0.00878   0.00268  -0.0703   0.5388   0.0315
  -5.500   0.0689   0.00874   0.00264  -0.0704   0.5369   0.0317
  -5.400   0.0811   0.00871   0.00261  -0.0705   0.5348   0.0319
  -5.300   0.0933   0.00869   0.00257  -0.0706   0.5325   0.0322
  -5.200   0.1056   0.00867   0.00254  -0.0707   0.5301   0.0324
  -5.100   0.1178   0.00865   0.00251  -0.0709   0.5273   0.0327
  -5.000   0.1300   0.00862   0.00247  -0.0710   0.5241   0.0333
  -4.900   0.1422   0.00858   0.00243  -0.0711   0.5226   0.0342
  -4.800   0.1544   0.00853   0.00239  -0.0712   0.5212   0.0353
  -4.700   0.1666   0.00849   0.00235  -0.0714   0.5196   0.0365
  -4.600   0.1786   0.00841   0.00229  -0.0715   0.5179   0.0416
  -4.500   0.1905   0.00829   0.00226  -0.0716   0.5161   0.0624
  -4.400   0.2027   0.00826   0.00225  -0.0717   0.5142   0.0654
  -4.300   0.2150   0.00826   0.00225  -0.0719   0.5122   0.0677
  -4.200   0.2273   0.00827   0.00225  -0.0721   0.5101   0.0689
  -4.100   0.2395   0.00827   0.00225  -0.0722   0.5077   0.0698
  -4.000   0.2518   0.00826   0.00223  -0.0724   0.5053   0.0713
  -3.900   0.2640   0.00824   0.00222  -0.0725   0.5041   0.0723
  -3.800   0.2763   0.00822   0.00221  -0.0727   0.5031   0.0733
  -3.700   0.2886   0.00821   0.00220  -0.0729   0.5018   0.0742
  -3.600   0.3008   0.00820   0.00219  -0.0730   0.5002   0.0749
  -3.500   0.3131   0.00819   0.00219  -0.0732   0.4985   0.0754
  -3.400   0.3254   0.00819   0.00218  -0.0734   0.4965   0.0759
  -3.300   0.3376   0.00820   0.00218  -0.0736   0.4944   0.0763
  -3.200   0.3499   0.00821   0.00218  -0.0737   0.4920   0.0766
  -3.100   0.3622   0.00822   0.00218  -0.0739   0.4894   0.0768
  -3.000   0.3744   0.00821   0.00216  -0.0741   0.4867   0.0777
  -2.900   0.3866   0.00819   0.00215  -0.0743   0.4855   0.0788
  -2.800   0.3988   0.00817   0.00213  -0.0745   0.4843   0.0799
  -2.700   0.4110   0.00815   0.00212  -0.0746   0.4829   0.0808
  -2.600   0.4233   0.00814   0.00211  -0.0748   0.4813   0.0816
  -2.500   0.4355   0.00813   0.00211  -0.0750   0.4795   0.0821
  -2.400   0.4477   0.00813   0.00210  -0.0752   0.4775   0.0828
  -2.300   0.4599   0.00813   0.00210  -0.0754   0.4753   0.0833
  -2.200   0.4721   0.00814   0.00209  -0.0756   0.4729   0.0838
  -2.100   0.4843   0.00815   0.00209  -0.0758   0.4702   0.0843
  -2.000   0.4965   0.00816   0.00209  -0.0760   0.4678   0.0847
  -1.900   0.5088   0.00816   0.00209  -0.0762   0.4666   0.0850
  -1.700   0.5332   0.00814   0.00208  -0.0766   0.4630   0.0873
  -1.600   0.5453   0.00814   0.00208  -0.0768   0.4606   0.0889
  -1.500   0.5575   0.00814   0.00208  -0.0770   0.4577   0.0905
  -1.400   0.5696   0.00815   0.00209  -0.0773   0.4544   0.0922
  -1.100   0.6055   0.00803   0.00210  -0.0779   0.4463   0.1369
