  
       XFOIL         Version 6.99
  
 Calculated polar for: N-24                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.395 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   4.898   1.2527   0.01548   0.00861  -0.0844   0.3428   1.0002
   5.306   1.2857   0.01610   0.00921  -0.0831   0.3342   1.0002
   5.714   1.3141   0.01686   0.00993  -0.0812   0.3264   1.0002
   6.122   1.3415   0.01754   0.01066  -0.0791   0.3193   1.0002
   6.531   1.3684   0.01843   0.01149  -0.0772   0.3130   1.0002
   6.939   1.3983   0.01923   0.01234  -0.0759   0.3076   1.0002
   7.347   1.4275   0.02005   0.01323  -0.0746   0.3021   1.0002
   7.755   1.4549   0.02105   0.01422  -0.0732   0.2964   1.0002
   8.163   1.4832   0.02206   0.01526  -0.0721   0.2911   1.0002
   8.571   1.5101   0.02309   0.01641  -0.0710   0.2858   1.0002
   8.980   1.5352   0.02430   0.01763  -0.0698   0.2802   1.0002
   9.388   1.5599   0.02559   0.01896  -0.0686   0.2745   1.0002
   9.796   1.5827   0.02699   0.02050  -0.0676   0.2686   1.0002
  10.204   1.6025   0.02863   0.02217  -0.0663   0.2621   1.0002
  10.612   1.6215   0.03042   0.02405  -0.0652   0.2554   1.0002
  11.020   1.6374   0.03250   0.02621  -0.0642   0.2473   1.0002
  11.429   1.6508   0.03486   0.02865  -0.0631   0.2390   1.0002
  11.837   1.6614   0.03763   0.03147  -0.0622   0.2296   1.0002
  12.245   1.6727   0.04050   0.03445  -0.0616   0.2203   1.0002
  12.653   1.6771   0.04411   0.03808  -0.0607   0.2108   1.0002
  13.061   1.6804   0.04804   0.04207  -0.0602   0.1994   1.0002
  13.469   1.6801   0.05245   0.04653  -0.0598   0.1876   1.0002
  13.878   1.6761   0.05737   0.05151  -0.0594   0.1768   1.0002
  14.286   1.6687   0.06279   0.05695  -0.0592   0.1674   1.0002
  14.694   1.6620   0.06823   0.06245  -0.0592   0.1591   1.0002
  15.102   1.6571   0.07357   0.06788  -0.0594   0.1526   1.0002
  15.510   1.6494   0.07932   0.07369  -0.0598   0.1466   1.0002
  15.918   1.6434   0.08491   0.07937  -0.0603   0.1417   1.0002
  16.327   1.6392   0.09042   0.08499  -0.0611   0.1368   1.0002
  16.735   1.6290   0.09667   0.09128  -0.0620   0.1322   1.0002
  17.143   1.6256   0.10222   0.09698  -0.0632   0.1282   1.0002
  17.551   1.6194   0.10821   0.10308  -0.0647   0.1240   1.0002
  17.959   1.6113   0.11436   0.10926  -0.0662   0.1199   1.0002
  18.367   1.6076   0.12014   0.11522  -0.0681   0.1165   1.0002
  18.776   1.6016   0.12633   0.12153  -0.0703   0.1124   1.0002
  19.184   1.5954   0.13242   0.12762  -0.0726   0.1080   1.0002
  19.592   1.5900   0.13871   0.13412  -0.0754   0.1043   1.0002
  20.000   1.5824   0.14531   0.14081  -0.0784   0.0997   1.0002
