  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.241 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0096   0.02715   0.01963  -0.0161   1.0000   0.0465
  -9.900  -1.0023   0.02685   0.01923  -0.0155   1.0000   0.0470
  -9.800  -0.9949   0.02589   0.01827  -0.0152   1.0000   0.0479
  -9.700  -0.9872   0.02532   0.01774  -0.0148   1.0000   0.0487
  -9.600  -0.9794   0.02493   0.01735  -0.0144   1.0000   0.0495
  -9.500  -0.9716   0.02457   0.01699  -0.0140   1.0000   0.0503
  -9.400  -0.9637   0.02422   0.01662  -0.0136   1.0000   0.0511
  -9.300  -0.9557   0.02386   0.01624  -0.0131   1.0000   0.0521
  -9.200  -0.9478   0.02352   0.01585  -0.0126   1.0000   0.0530
  -9.100  -0.9397   0.02321   0.01548  -0.0122   1.0000   0.0540
  -9.000  -0.9314   0.02297   0.01517  -0.0117   1.0000   0.0549
  -8.900  -0.9242   0.02232   0.01453  -0.0112   1.0000   0.0561
  -8.800  -0.9170   0.02183   0.01408  -0.0107   1.0000   0.0573
  -8.700  -0.9092   0.02151   0.01378  -0.0102   1.0000   0.0584
  -8.600  -0.9012   0.02123   0.01349  -0.0097   1.0000   0.0597
  -8.500  -0.8932   0.02095   0.01319  -0.0092   1.0000   0.0610
  -8.400  -0.8850   0.02068   0.01288  -0.0087   1.0000   0.0624
  -8.300  -0.8767   0.02043   0.01258  -0.0082   1.0000   0.0637
  -8.200  -0.8690   0.02006   0.01219  -0.0077   1.0000   0.0650
  -8.100  -0.8626   0.01954   0.01173  -0.0070   1.0000   0.0667
  -8.000  -0.8551   0.01926   0.01146  -0.0064   1.0000   0.0683
  -7.900  -0.8471   0.01902   0.01122  -0.0059   1.0000   0.0702
  -7.800  -0.8390   0.01879   0.01097  -0.0054   1.0000   0.0721
  -7.700  -0.8307   0.01859   0.01072  -0.0049   1.0000   0.0740
  -7.600  -0.8236   0.01823   0.01035  -0.0042   1.0000   0.0759
  -7.500  -0.8171   0.01783   0.01001  -0.0035   1.0000   0.0781
  -7.400  -0.8094   0.01759   0.00978  -0.0029   1.0000   0.0804
  -7.300  -0.8014   0.01738   0.00957  -0.0023   1.0000   0.0830
  -7.200  -0.7930   0.01721   0.00935  -0.0018   1.0000   0.0857
  -7.100  -0.7863   0.01684   0.00902  -0.0011   1.0000   0.0886
  -7.000  -0.7791   0.01656   0.00878  -0.0004   1.0000   0.0916
  -6.900  -0.7711   0.01636   0.00858   0.0001   1.0000   0.0950
  -6.800  -0.7626   0.01620   0.00837   0.0006   1.0000   0.0985
  -6.700  -0.7561   0.01584   0.00808   0.0014   1.0000   0.1025
  -6.600  -0.7484   0.01562   0.00788   0.0020   1.0000   0.1068
  -6.500  -0.7399   0.01546   0.00770   0.0025   1.0000   0.1115
  -6.400  -0.7331   0.01515   0.00745   0.0032   1.0000   0.1165
  -6.300  -0.7252   0.01494   0.00727   0.0038   1.0000   0.1223
  -6.200  -0.7174   0.01473   0.00707   0.0043   1.0000   0.1283
  -6.100  -0.7099   0.01449   0.00689   0.0049   1.0000   0.1350
  -6.000  -0.7019   0.01429   0.00671   0.0055   1.0000   0.1424
  -5.900  -0.6943   0.01406   0.00654   0.0061   1.0000   0.1505
  -5.800  -0.6865   0.01385   0.00637   0.0066   1.0000   0.1591
  -5.700  -0.6784   0.01367   0.00622   0.0072   1.0000   0.1688
  -5.600  -0.6708   0.01345   0.00608   0.0077   1.0000   0.1788
  -5.500  -0.6628   0.01326   0.00594   0.0083   1.0000   0.1896
  -5.400  -0.6546   0.01309   0.00581   0.0088   1.0000   0.2014
  -5.300  -0.6467   0.01290   0.00569   0.0093   1.0000   0.2135
  -5.200  -0.6387   0.01271   0.00557   0.0098   1.0000   0.2258
  -5.100  -0.6305   0.01255   0.00547   0.0103   1.0000   0.2385
  -5.000  -0.6223   0.01239   0.00536   0.0107   1.0000   0.2517
  -4.900  -0.6139   0.01225   0.00527   0.0112   1.0000   0.2652
  -4.800  -0.6055   0.01211   0.00518   0.0116   1.0000   0.2789
  -4.700  -0.5972   0.01196   0.00510   0.0121   1.0000   0.2924
  -4.600  -0.5888   0.01182   0.00502   0.0125   1.0000   0.3061
  -4.500  -0.5803   0.01170   0.00496   0.0130   1.0000   0.3198
  -4.400  -0.5717   0.01158   0.00489   0.0134   1.0000   0.3335
  -4.300  -0.5631   0.01147   0.00483   0.0138   1.0000   0.3472
  -4.200  -0.5543   0.01137   0.00477   0.0141   1.0000   0.3612
  -4.100  -0.5456   0.01126   0.00473   0.0145   1.0000   0.3750
  -4.000  -0.5368   0.01116   0.00469   0.0149   1.0000   0.3887
  -3.900  -0.5279   0.01107   0.00465   0.0152   1.0000   0.4023
  -3.800  -0.5189   0.01098   0.00462   0.0156   1.0000   0.4159
  -3.700  -0.5098   0.01091   0.00459   0.0159   1.0000   0.4296
  -3.600  -0.5007   0.01084   0.00457   0.0162   1.0000   0.4434
  -3.500  -0.4916   0.01077   0.00455   0.0165   1.0000   0.4570
  -3.400  -0.4826   0.01070   0.00454   0.0168   1.0000   0.4704
  -3.300  -0.4734   0.01063   0.00453   0.0171   1.0000   0.4838
  -3.200  -0.4643   0.01058   0.00453   0.0174   1.0000   0.4973
  -3.100  -0.4548   0.01053   0.00453   0.0176   0.9999   0.5110
  -3.000  -0.4379   0.01045   0.00451   0.0163   0.9977   0.5275
  -2.900  -0.4210   0.01038   0.00451   0.0150   0.9956   0.5438
  -2.800  -0.4038   0.01033   0.00451   0.0137   0.9938   0.5602
  -2.700  -0.3880   0.01025   0.00449   0.0127   0.9909   0.5757
  -2.600  -0.3718   0.01017   0.00447   0.0117   0.9882   0.5912
  -2.500  -0.3550   0.01010   0.00447   0.0105   0.9858   0.6065
  -2.400  -0.3377   0.01004   0.00447   0.0092   0.9837   0.6218
  -2.300  -0.3221   0.00996   0.00446   0.0083   0.9809   0.6361
  -2.200  -0.3071   0.00989   0.00444   0.0076   0.9774   0.6502
  -2.100  -0.2909   0.00982   0.00443   0.0066   0.9746   0.6643
  -2.000  -0.2738   0.00976   0.00442   0.0054   0.9724   0.6785
  -1.900  -0.2560   0.00970   0.00440   0.0041   0.9705   0.6927
  -1.800  -0.2424   0.00963   0.00439   0.0037   0.9665   0.7055
  -1.700  -0.2274   0.00956   0.00438   0.0031   0.9630   0.7180
  -1.600  -0.2108   0.00949   0.00436   0.0021   0.9603   0.7307
  -1.500  -0.1934   0.00943   0.00434   0.0009   0.9582   0.7435
  -1.400  -0.1760   0.00937   0.00432  -0.0002   0.9563   0.7556
  -1.300  -0.1637   0.00931   0.00431  -0.0002   0.9514   0.7664
  -1.200  -0.1498   0.00925   0.00429  -0.0006   0.9472   0.7776
  -1.100  -0.1345   0.00919   0.00427  -0.0012   0.9440   0.7886
  -1.000  -0.1189   0.00913   0.00425  -0.0018   0.9413   0.7985
  -0.900  -0.1074   0.00909   0.00423  -0.0017   0.9357   0.8090
  -0.800  -0.0948   0.00905   0.00422  -0.0016   0.9307   0.8180
  -0.700  -0.0809   0.00900   0.00419  -0.0019   0.9267   0.8276
