  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.043 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.02188   0.01128   0.0000   1.0000   1.0000
   0.408  -0.0145   0.02201   0.01139   0.0071   1.0000   1.0000
   0.816  -0.0210   0.02244   0.01176   0.0128   1.0000   1.0000
   1.224  -0.0188   0.02315   0.01241   0.0167   1.0000   1.0000
   1.633  -0.0088   0.02417   0.01338   0.0190   1.0000   1.0000
   2.041   0.0803   0.02616   0.01552   0.0067   0.9713   1.0000
   2.449   0.2090   0.02769   0.01740  -0.0107   0.9155   1.0000
   2.857   0.3561   0.02774   0.01800  -0.0278   0.8546   1.0000
   3.265   0.4587   0.02667   0.01733  -0.0334   0.7919   1.0000
   3.673   0.5085   0.02619   0.01698  -0.0298   0.7281   1.0000
   4.082   0.5467   0.02599   0.01675  -0.0244   0.6628   1.0000
   4.490   0.5806   0.02609   0.01670  -0.0185   0.5944   1.0000
   4.898   0.6119   0.02663   0.01697  -0.0130   0.5224   1.0000
   5.306   0.6413   0.02766   0.01773  -0.0080   0.4491   1.0000
   5.714   0.6713   0.02910   0.01883  -0.0037   0.3814   1.0000
   6.122   0.7018   0.03105   0.02049  -0.0001   0.3248   1.0000
   6.531   0.7336   0.03338   0.02263   0.0029   0.2805   1.0000
   6.939   0.7644   0.03629   0.02554   0.0055   0.2473   1.0000
   7.347   0.7890   0.03998   0.02970   0.0084   0.2230   1.0000
   7.755   0.8136   0.04400   0.03401   0.0110   0.2050   1.0000
   8.163   0.8267   0.04944   0.04000   0.0138   0.1938   1.0000
   8.571   0.8437   0.05459   0.04539   0.0160   0.1837   1.0000
   8.980   0.8253   0.06290   0.05437   0.0182   0.1824   1.0000
   9.388   0.7960   0.07222   0.06403   0.0187   0.1835   1.0000
   9.796   0.7683   0.08187   0.07380   0.0177   0.1856   1.0000
  10.612   0.5648   0.12822   0.11970  -0.0249   0.3715   1.0000
  11.020   0.5734   0.13424   0.12571  -0.0254   0.3561   1.0000
  11.429   0.5821   0.14016   0.13165  -0.0259   0.3403   1.0000
  11.837   0.5897   0.14579   0.13727  -0.0265   0.3237   1.0000
  12.245   0.6065   0.15274   0.14424  -0.0272   0.3102   1.0000
  12.653   0.6201   0.15914   0.15064  -0.0279   0.2948   1.0000
  13.061   0.6432   0.16710   0.15865  -0.0283   0.2797   1.0000
  13.469   0.6270   0.16832   0.15980  -0.0306   0.2679   1.0000
  13.878   0.6333   0.17353   0.16499  -0.0323   0.2565   1.0000
  14.286   0.6492   0.18020   0.17166  -0.0335   0.2454   1.0000
  14.694   0.6700   0.18746   0.17898  -0.0344   0.2330   1.0000
  15.102   0.6655   0.18992   0.18137  -0.0377   0.2241   1.0000
  15.510   0.6853   0.19754   0.18900  -0.0389   0.2149   1.0000
  15.918   0.6943   0.20166   0.19313  -0.0411   0.2035   1.0000
  16.327   0.7032   0.20689   0.19833  -0.0439   0.1976   1.0000
  16.735   0.7199   0.21291   0.20439  -0.0456   0.1875   1.0000
  17.143   0.7264   0.21705   0.20849  -0.0491   0.1813   1.0000
  17.551   0.7464   0.22414   0.21563  -0.0504   0.1717   1.0000
  17.959   0.7534   0.22816   0.21961  -0.0541   0.1675   1.0000
  18.367   0.7655   0.23252   0.22398  -0.0571   0.1594   1.0000
  18.776   0.7863   0.24181   0.23330  -0.0585   0.1545   1.0000
  19.184   0.7901   0.24239   0.23386  -0.0633   0.1474   1.0000
  19.592   0.8164   0.25382   0.24537  -0.0636   0.1409   1.0000
  20.000   0.8190   0.25400   0.24547  -0.0689   0.1382   1.0000
