NACA 0012 AIRFOILS                              
 Alfa =  -1.60000 Re =   208413.172 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.13458
   0.99374  0.00214  0.11205
   0.98279  0.00365  0.06942
   0.96998  0.00540  0.01229
   0.95565  0.00732  0.01095
   0.94026  0.00934  0.00960
   0.92426  0.01141  0.00814
   0.90794  0.01348  0.00653
   0.89145  0.01554  0.00471
   0.87488  0.01756  0.00261
   0.85827  0.01955  0.00019
   0.84163  0.02150 -0.00263
   0.82498  0.02342 -0.00589
   0.80831  0.02531 -0.00965
   0.79164  0.02715 -0.01394
   0.77497  0.02896 -0.01877
   0.75829  0.03074 -0.02405
   0.74161  0.03247 -0.02978
   0.72493  0.03417 -0.03603
   0.70825  0.03583 -0.04280
   0.69157  0.03745 -0.05001
   0.67489  0.03904 -0.05758
   0.65822  0.04058 -0.06536
   0.64155  0.04208 -0.07328
   0.62490  0.04354 -0.08124
   0.60824  0.04495 -0.08919
   0.59160  0.04632 -0.09704
   0.57497  0.04764 -0.10487
   0.55835  0.04891 -0.11258
   0.54174  0.05012 -0.12016
   0.52515  0.05129 -0.12762
   0.50858  0.05239 -0.13500
   0.49203  0.05344 -0.14220
   0.47550  0.05442 -0.14934
   0.45899  0.05534 -0.15629
   0.44250  0.05618 -0.16312
   0.42604  0.05696 -0.16979
   0.40962  0.05766 -0.17624
   0.39322  0.05828 -0.18258
   0.37686  0.05881 -0.18867
   0.36055  0.05925 -0.19450
   0.34427  0.05960 -0.20003
   0.32805  0.05984 -0.20522
   0.31188  0.05999 -0.21000
   0.29576  0.06001 -0.21438
   0.27972  0.05992 -0.21825
   0.26374  0.05971 -0.22156
   0.24786  0.05936 -0.22397
   0.23206  0.05887 -0.22576
   0.21638  0.05822 -0.22658
   0.20082  0.05742 -0.22623
   0.18542  0.05645 -0.22454
   0.17020  0.05530 -0.22145
   0.15520  0.05397 -0.21629
   0.14048  0.05243 -0.20887
   0.12612  0.05070 -0.19912
   0.11223  0.04877 -0.18607
   0.09895  0.04665 -0.16935
   0.08645  0.04437 -0.14860
   0.07492  0.04198 -0.12315
   0.06448  0.03953 -0.09333
   0.05523  0.03707 -0.05819
   0.04714  0.03466 -0.01896
   0.04013  0.03232  0.02508
   0.03407  0.03007  0.07432
   0.02883  0.02790  0.12822
   0.02429  0.02580  0.18743
   0.02033  0.02378  0.25210
   0.01687  0.02180  0.32279
   0.01383  0.01987  0.40025
   0.01117  0.01796  0.48466
   0.00884  0.01607  0.57452
   0.00681  0.01418  0.66971
   0.00506  0.01228  0.76604
   0.00358  0.01038  0.85623
   0.00236  0.00847  0.93351
   0.00140  0.00655  0.98583
   0.00069  0.00463  0.99909
   0.00024  0.00274  0.96599
   0.00003  0.00090  0.88526
   0.00003 -0.00090  0.76503
   0.00024 -0.00274  0.60359
   0.00069 -0.00463  0.41261
   0.00140 -0.00655  0.21315
   0.00236 -0.00847  0.02190
   0.00358 -0.01038 -0.14822
   0.00506 -0.01228 -0.28918
   0.00681 -0.01418 -0.40617
   0.00884 -0.01607 -0.49829
   0.01117 -0.01796 -0.56945
   0.01383 -0.01987 -0.62293
   0.01687 -0.02180 -0.66334
   0.02033 -0.02378 -0.69184
   0.02429 -0.02580 -0.71220
   0.02883 -0.02790 -0.72454
   0.03407 -0.03007 -0.73113
   0.04013 -0.03232 -0.73245
   0.04714 -0.03466 -0.72946
   0.05523 -0.03707 -0.72292
   0.06448 -0.03953 -0.71343
   0.07492 -0.04198 -0.70139
   0.08645 -0.04437 -0.68761
