NACA 0012 AIRFOILS                              
 Alfa =   5.10000 Re =   247008.203 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.11423
   0.99374  0.00214  0.10472
   0.98279  0.00365  0.08592
   0.96998  0.00540  0.06514
   0.95565  0.00732  0.04313
   0.94026  0.00934  0.02079
   0.92426  0.01141 -0.00104
   0.90794  0.01348 -0.02202
   0.89145  0.01554 -0.04207
   0.87488  0.01756 -0.06135
   0.85827  0.01955 -0.07970
   0.84163  0.02150 -0.09748
   0.82498  0.02342 -0.11453
   0.80831  0.02531 -0.13124
   0.79164  0.02715 -0.14727
   0.77497  0.02896 -0.16337
   0.75829  0.03074 -0.17898
   0.74161  0.03247 -0.19435
   0.72493  0.03417 -0.20980
   0.70825  0.03583 -0.22509
   0.69157  0.03745 -0.24023
   0.67489  0.03904 -0.25560
   0.65822  0.04058 -0.27087
   0.64155  0.04208 -0.28624
   0.62490  0.04354 -0.30188
   0.60824  0.04495 -0.31755
   0.59160  0.04632 -0.33330
   0.57497  0.04764 -0.34953
   0.55835  0.04891 -0.36583
   0.54174  0.05012 -0.38240
   0.52515  0.05129 -0.39919
   0.50858  0.05239 -0.41641
   0.49203  0.05344 -0.43380
   0.47550  0.05442 -0.45158
   0.45899  0.05534 -0.46967
   0.44250  0.05618 -0.48808
   0.42604  0.05696 -0.50677
   0.40962  0.05766 -0.52572
   0.39322  0.05828 -0.54513
   0.37686  0.05881 -0.56480
   0.36055  0.05925 -0.58489
   0.34427  0.05960 -0.60460
   0.32805  0.05984 -0.62477
   0.31188  0.05999 -0.64558
   0.29576  0.06001 -0.66742
   0.27972  0.05992 -0.69561
   0.26374  0.05971 -0.74257
   0.24786  0.05936 -0.81984
   0.23206  0.05887 -0.89421
   0.21638  0.05822 -0.91824
   0.20082  0.05742 -0.94495
   0.18542  0.05645 -0.97404
   0.17020  0.05530 -1.00583
   0.15520  0.05397 -1.04085
   0.14048  0.05243 -1.07971
   0.12612  0.05070 -1.12301
   0.11223  0.04877 -1.17127
   0.09895  0.04665 -1.22483
   0.08645  0.04437 -1.28372
   0.07492  0.04198 -1.34757
   0.06448  0.03953 -1.41555
   0.05523  0.03707 -1.48656
   0.04714  0.03466 -1.55951
   0.04013  0.03232 -1.63337
   0.03407  0.03007 -1.70679
   0.02883  0.02790 -1.77948
   0.02429  0.02580 -1.85026
   0.02033  0.02378 -1.91733
   0.01687  0.02180 -1.97948
   0.01383  0.01987 -2.03327
   0.01117  0.01796 -2.07541
   0.00884  0.01607 -2.09878
   0.00681  0.01418 -2.09745
   0.00506  0.01228 -2.05757
   0.00358  0.01038 -1.97095
   0.00236  0.00847 -1.82086
   0.00140  0.00655 -1.59851
   0.00069  0.00463 -1.30785
   0.00024  0.00274 -0.96111
   0.00003  0.00090 -0.60597
   0.00003 -0.00090 -0.25481
   0.00024 -0.00274  0.07928
   0.00069 -0.00463  0.37907
   0.00140 -0.00655  0.62651
   0.00236 -0.00847  0.80634
   0.00358 -0.01038  0.92049
   0.00506 -0.01228  0.98111
   0.00681 -0.01418  0.99994
   0.00884 -0.01607  0.98889
   0.01117 -0.01796  0.95676
   0.01383 -0.01987  0.91181
   0.01687 -0.02180  0.85788
   0.02033 -0.02378  0.79890
   0.02429 -0.02580  0.73675
   0.02883 -0.02790  0.67345
   0.03407 -0.03007  0.60989
   0.04013 -0.03232  0.54685
   0.04714 -0.03466  0.48504
   0.05523 -0.03707  0.42555
   0.06448 -0.03953  0.36889
   0.07492 -0.04198  0.31637
   0.08645 -0.04437  0.26846
   0.09895 -0.04665  0.22581
   0.11223 -0.04877  0.18827
   0.12612 -0.05070  0.15587
   0.14048 -0.05243  0.12774
   0.15520 -0.05397  0.10370
   0.17020 -0.05530  0.08292
   0.18542 -0.05645  0.06528
   0.20082 -0.05742  0.05024
   0.21638 -0.05822  0.03738
   0.23206 -0.05887  0.02645
   0.24786 -0.05936  0.01717
   0.26374 -0.05971  0.00934
   0.27972 -0.05992  0.00290
   0.29577 -0.06001 -0.00237
   0.31188 -0.05999 -0.00686
   0.32805 -0.05984 -0.01033
   0.34427 -0.05960 -0.01299
   0.36055 -0.05925 -0.01506
   0.37686 -0.05881 -0.01639
   0.39322 -0.05827 -0.01727
   0.40962 -0.05766 -0.01759
   0.42604 -0.05696 -0.01752
   0.44250 -0.05618 -0.01703
   0.45899 -0.05534 -0.01622
   0.47550 -0.05442 -0.01498
   0.49203 -0.05344 -0.01359
   0.50858 -0.05239 -0.01185
   0.52515 -0.05129 -0.00983
   0.54175 -0.05012 -0.00759
   0.55835 -0.04891 -0.00513
   0.57497 -0.04764 -0.00238
   0.59160 -0.04632  0.00044
   0.60825 -0.04495  0.00363
   0.62490 -0.04354  0.00691
   0.64155 -0.04208  0.01052
   0.65822 -0.04058  0.01436
   0.67490 -0.03904  0.01842
   0.69157 -0.03745  0.02275
   0.70825 -0.03583  0.02741
   0.72493 -0.03417  0.03246
   0.74161 -0.03247  0.03779
   0.75829 -0.03074  0.04353
   0.77497 -0.02896  0.04963
   0.79165 -0.02715  0.05613
   0.80831 -0.02531  0.06293
   0.82498 -0.02342  0.06993
   0.84163 -0.02150  0.07689
   0.85827 -0.01955  0.08357
   0.87488 -0.01756  0.08968
   0.89145 -0.01554  0.09502
   0.90794 -0.01348  0.09965
   0.92426 -0.01141  0.10370
   0.94026 -0.00934  0.10700
   0.95565 -0.00732  0.10955
   0.96998 -0.00540  0.11143
   0.98279 -0.00365  0.11275
   0.99374 -0.00214  0.11367
   1.00000 -0.00126  0.11423
