  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.043 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.3528   0.11720   0.10841  -0.0134   1.0000   0.3912
  -9.917  -0.3517   0.11647   0.10768  -0.0132   1.0000   0.3964
  -9.833  -0.3650   0.11699   0.10825  -0.0127   1.0000   0.4008
  -9.750  -0.3805   0.11750   0.10885  -0.0124   1.0000   0.4024
  -9.667  -0.3536   0.11374   0.10501  -0.0129   1.0000   0.4059
  -9.583  -0.3441   0.11222   0.10347  -0.0129   1.0000   0.4100
  -9.500  -0.3433   0.11149   0.10275  -0.0127   1.0000   0.4153
  -9.417  -0.3579   0.11206   0.10337  -0.0120   1.0000   0.4199
  -9.333  -0.3666   0.11172   0.10308  -0.0118   1.0000   0.4216
  -9.250  -0.3405   0.10850   0.09979  -0.0122   1.0000   0.4264
  -9.167  -0.3343   0.10739   0.09868  -0.0121   1.0000   0.4318
  -9.083  -0.3435   0.10748   0.09880  -0.0114   1.0000   0.4376
  -9.000  -0.3616   0.10814   0.09953  -0.0106   1.0000   0.4398
  -8.917  -0.3392   0.10501   0.09636  -0.0113   1.0000   0.4432
  -8.833  -0.3289   0.10347   0.09481  -0.0114   1.0000   0.4473
  -8.750  -0.3276   0.10270   0.09404  -0.0111   1.0000   0.4526
  -8.667  -0.3431   0.10321   0.09461  -0.0101   1.0000   0.4576
  -8.583  -0.3518   0.10281   0.09426  -0.0095   1.0000   0.4592
  -8.500  -0.3260   0.09983   0.09121  -0.0103   1.0000   0.4639
  -8.417  -0.3198   0.09873   0.09010  -0.0102   1.0000   0.4692
  -8.333  -0.3284   0.09868   0.09009  -0.0093   1.0000   0.4750
  -8.250  -0.3452   0.09906   0.09054  -0.0082   1.0000   0.4773
  -8.167  -0.3316   0.09678   0.08825  -0.0087   1.0000   0.4798
  -8.083  -0.3210   0.09513   0.08657  -0.0090   1.0000   0.4825
  -8.000  -0.3166   0.09396   0.08540  -0.0090   1.0000   0.4850
  -7.917  -0.3154   0.09299   0.08444  -0.0088   1.0000   0.4872
  -7.833  -0.3162   0.09208   0.08354  -0.0086   1.0000   0.4887
  -7.750  -0.3177   0.09103   0.08251  -0.0084   1.0000   0.4877
  -7.583  -0.6491   0.05984   0.05148  -0.0288   1.0000   0.2341
  -7.500  -0.6554   0.05828   0.04983  -0.0281   1.0000   0.2344
  -7.417  -0.6611   0.05672   0.04817  -0.0275   1.0000   0.2348
  -7.333  -0.6665   0.05518   0.04651  -0.0268   1.0000   0.2354
  -7.250  -0.6714   0.05365   0.04482  -0.0261   1.0000   0.2361
  -7.167  -0.6760   0.05211   0.04310  -0.0254   1.0000   0.2368
  -7.083  -0.6644   0.05214   0.04335  -0.0248   1.0000   0.2398
  -7.000  -0.6583   0.05184   0.04311  -0.0240   1.0000   0.2424
  -6.917  -0.6562   0.05110   0.04233  -0.0233   1.0000   0.2446
  -6.833  -0.6557   0.05013   0.04129  -0.0227   1.0000   0.2467
  -6.750  -0.6559   0.04903   0.04007  -0.0221   1.0000   0.2487
  -6.667  -0.6567   0.04781   0.03870  -0.0215   1.0000   0.2507
  -6.583  -0.6577   0.04652   0.03721  -0.0210   1.0000   0.2527
  -6.500  -0.6583   0.04525   0.03571  -0.0205   1.0000   0.2547
  -6.417  -0.6500   0.04507   0.03572  -0.0199   1.0000   0.2577
  -6.333  -0.6441   0.04477   0.03549  -0.0192   1.0000   0.2609
  -6.250  -0.6403   0.04417   0.03484  -0.0186   1.0000   0.2641
  -6.167  -0.6379   0.04331   0.03385  -0.0181   1.0000   0.2674
  -6.083  -0.6363   0.04224   0.03256  -0.0177   1.0000   0.2707
  -6.000  -0.6328   0.04142   0.03165  -0.0173   1.0000   0.2738
  -5.917  -0.6260   0.04118   0.03154  -0.0166   1.0000   0.2772
  -5.833  -0.6206   0.04079   0.03117  -0.0161   1.0000   0.2810
  -5.750  -0.6164   0.04015   0.03041  -0.0156   1.0000   0.2853
  -5.667  -0.6134   0.03922   0.02924  -0.0154   1.0000   0.2897
  -5.583  -0.6076   0.03879   0.02888  -0.0148   1.0000   0.2935
  -5.500  -0.6014   0.03853   0.02870  -0.0142   1.0000   0.2976
  -5.417  -0.5961   0.03804   0.02816  -0.0138   1.0000   0.3023
  -5.333  -0.5919   0.03728   0.02717  -0.0136   1.0000   0.3078
  -5.250  -0.5859   0.03691   0.02688  -0.0130   1.0000   0.3122
  -5.167  -0.5798   0.03666   0.02670  -0.0125   1.0000   0.3171
  -5.083  -0.5743   0.03616   0.02612  -0.0121   1.0000   0.3229
  -5.000  -0.5688   0.03556   0.02537  -0.0119   1.0000   0.3286
  -4.917  -0.5626   0.03534   0.02527  -0.0113   1.0000   0.3336
  -4.833  -0.5566   0.03500   0.02491  -0.0109   1.0000   0.3399
  -4.750  -0.5508   0.03446   0.02422  -0.0107   1.0000   0.3469
  -4.667  -0.5444   0.03425   0.02413  -0.0101   1.0000   0.3522
  -4.583  -0.5382   0.03392   0.02379  -0.0098   1.0000   0.3590
  -4.500  -0.5319   0.03347   0.02325  -0.0096   1.0000   0.3664
  -4.417  -0.5256   0.03329   0.02318  -0.0090   1.0000   0.3726
  -4.333  -0.5193   0.03294   0.02273  -0.0088   1.0000   0.3809
  -4.250  -0.5129   0.03265   0.02250  -0.0083   1.0000   0.3877
  -4.167  -0.5066   0.03243   0.02231  -0.0079   1.0000   0.3953
  -4.083  -0.5001   0.03208   0.02188  -0.0077   1.0000   0.4041
  -4.000  -0.4939   0.03193   0.02184  -0.0071   1.0000   0.4113
  -3.917  -0.4873   0.03160   0.02140  -0.0070   1.0000   0.4215
  -3.833  -0.4812   0.03146   0.02140  -0.0063   1.0000   0.4284
  -3.750  -0.4746   0.03119   0.02106  -0.0061   1.0000   0.4389
  -3.667  -0.4686   0.03105   0.02105  -0.0055   1.0000   0.4467
  -3.583  -0.4621   0.03082   0.02076  -0.0053   1.0000   0.4577
  -3.500  -0.4562   0.03070   0.02075  -0.0046   1.0000   0.4658
  -3.417  -0.4495   0.03047   0.02046  -0.0045   1.0000   0.4777
  -3.333  -0.4438   0.03039   0.02052  -0.0037   1.0000   0.4861
  -3.250  -0.4372   0.03020   0.02030  -0.0035   1.0000   0.4981
  -3.167  -0.4316   0.03012   0.02031  -0.0027   1.0000   0.5078
  -3.083  -0.4256   0.02997   0.02018  -0.0023   1.0000   0.5193
  -3.000  -0.4198   0.02986   0.02011  -0.0018   1.0000   0.5311
  -2.917  -0.4142   0.02977   0.02010  -0.0011   1.0000   0.5420
  -2.833  -0.4082   0.02965   0.01999  -0.0007   1.0000   0.5555
  -2.750  -0.4028   0.02960   0.02001   0.0001   1.0000   0.5670
  -2.667  -0.3973   0.02952   0.02000   0.0007   1.0000   0.5796
  -2.583  -0.3915   0.02943   0.01993   0.0012   1.0000   0.5941
  -2.500  -0.3862   0.02939   0.01996   0.0020   1.0000   0.6075
  -2.417  -0.3811   0.02935   0.02000   0.0029   1.0000   0.6208
  -2.333  -0.3758   0.02930   0.01999   0.0036   1.0000   0.6358
  -2.250  -0.3706   0.02925   0.01999   0.0043   1.0000   0.6518
  -2.167  -0.3659   0.02922   0.02003   0.0052   1.0000   0.6679
  -2.083  -0.3617   0.02922   0.02012   0.0064   1.0000   0.6829
  -2.000  -0.3575   0.02921   0.02018   0.0075   1.0000   0.6994
  -1.917  -0.3535   0.02920   0.02025   0.0086   1.0000   0.7168
  -1.833  -0.3498   0.02920   0.02033   0.0099   1.0000   0.7351
  -1.750  -0.3464   0.02921   0.02042   0.0113   1.0000   0.7543
  -1.667  -0.3431   0.02924   0.02052   0.0127   1.0000   0.7745
  -1.583  -0.3398   0.02928   0.02064   0.0142   1.0000   0.7960
