  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.086 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3180   0.02186   0.01467  -0.0692   0.8467   0.9765
   0.408   0.4368   0.02070   0.01341  -0.0830   0.8298   1.0000
   0.816   0.4663   0.02029   0.01289  -0.0807   0.8044   1.0000
   1.224   0.5013   0.01987   0.01235  -0.0788   0.7819   1.0000
   1.633   0.5373   0.01958   0.01193  -0.0767   0.7606   1.0000
   2.041   0.5646   0.01976   0.01204  -0.0735   0.7358   1.0000
   2.449   0.5979   0.01983   0.01203  -0.0710   0.7133   1.0000
   2.857   0.6339   0.01991   0.01200  -0.0687   0.6915   1.0000
   3.265   0.6716   0.02002   0.01200  -0.0666   0.6702   1.0000
   3.673   0.7061   0.02033   0.01224  -0.0641   0.6476   1.0000
   4.082   0.7391   0.02072   0.01260  -0.0615   0.6238   1.0000
   4.490   0.7758   0.02102   0.01283  -0.0592   0.6007   1.0000
   4.898   0.8153   0.02128   0.01296  -0.0573   0.5780   1.0000
   5.306   0.8476   0.02179   0.01347  -0.0545   0.5526   1.0000
   5.714   0.8836   0.02216   0.01377  -0.0521   0.5269   1.0000
   6.122   0.9203   0.02255   0.01408  -0.0499   0.5010   1.0000
   6.531   0.9533   0.02302   0.01452  -0.0472   0.4729   1.0000
   6.939   0.9872   0.02351   0.01494  -0.0446   0.4446   1.0000
   7.347   1.0211   0.02395   0.01526  -0.0421   0.4151   1.0000
   7.755   1.0487   0.02457   0.01590  -0.0387   0.3835   1.0000
   8.163   1.0756   0.02529   0.01654  -0.0353   0.3514   1.0000
   8.571   1.1004   0.02618   0.01733  -0.0317   0.3188   1.0000
   8.980   1.1231   0.02732   0.01834  -0.0281   0.2870   1.0000
   9.388   1.1448   0.02871   0.01955  -0.0245   0.2572   1.0000
   9.796   1.1645   0.03030   0.02102  -0.0207   0.2301   1.0000
  10.204   1.1834   0.03218   0.02286  -0.0172   0.2067   1.0000
  10.612   1.2020   0.03416   0.02480  -0.0137   0.1867   1.0000
  11.020   1.2212   0.03626   0.02685  -0.0105   0.1701   1.0000
  11.429   1.2402   0.03862   0.02926  -0.0075   0.1561   1.0000
  11.837   1.2584   0.04126   0.03200  -0.0047   0.1444   1.0000
  12.245   1.2805   0.04407   0.03483  -0.0025   0.1343   1.0000
  12.653   1.3135   0.04701   0.03766  -0.0019   0.1246   1.0000
  13.061   1.3004   0.05055   0.04176   0.0035   0.1196   1.0000
  13.469   1.3329   0.05385   0.04493   0.0040   0.1123   1.0000
  13.878   1.3018   0.05863   0.05034   0.0092   0.1099   1.0000
  14.286   1.2740   0.06435   0.05652   0.0121   0.1072   1.0000
  14.694   1.2599   0.06988   0.06232   0.0134   0.1041   1.0000
  15.102   1.2634   0.07512   0.06761   0.0140   0.1007   1.0000
  15.510   1.2053   0.08537   0.07835   0.0125   0.1006   1.0000
  16.327   0.5736   0.17481   0.16906  -0.0233   0.1807   1.0000
  16.735   0.5333   0.17363   0.16788  -0.0272   0.1720   1.0000
  17.143   0.5809   0.18315   0.17748  -0.0258   0.1660   1.0000
  17.551   0.5412   0.18169   0.17600  -0.0301   0.1587   1.0000
  17.959   0.5715   0.18819   0.18256  -0.0295   0.1522   1.0000
  18.367   0.5511   0.18992   0.18429  -0.0332   0.1468   1.0000
  18.776   0.5657   0.19424   0.18866  -0.0338   0.1396   1.0000
  19.184   0.5658   0.19865   0.19309  -0.0359   0.1360   1.0000
  19.592   0.5679   0.20206   0.19653  -0.0380   0.1288   1.0000
  20.000   0.6001   0.21109   0.20560  -0.0372   0.1247   1.0000
