NACA 2415                                       
 Alfa =  17.75000 Re =   107651.406 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00157 -0.20045
   0.99318  0.00326 -0.20143
   0.98173  0.00600 -0.20309
   0.96880  0.00906 -0.20498
   0.95446  0.01238 -0.20710
   0.93889  0.01591 -0.20944
   0.92241  0.01956 -0.21196
   0.90530  0.02327 -0.21462
   0.88776  0.02697 -0.21742
   0.86990  0.03064 -0.22033
   0.85186  0.03426 -0.22335
   0.83372  0.03780 -0.22646
   0.81551  0.04126 -0.22966
   0.79724  0.04464 -0.23297
   0.77892  0.04793 -0.23638
   0.76059  0.05113 -0.23990
   0.74224  0.05423 -0.24353
   0.72388  0.05724 -0.24729
   0.70551  0.06016 -0.25117
   0.68713  0.06297 -0.25519
   0.66875  0.06569 -0.25936
   0.65038  0.06831 -0.26368
   0.63203  0.07083 -0.26817
   0.61369  0.07324 -0.27284
   0.59536  0.07554 -0.27770
   0.57704  0.07773 -0.28277
   0.55874  0.07980 -0.28808
   0.54048  0.08177 -0.29363
   0.52226  0.08361 -0.29944
   0.50409  0.08532 -0.30554
   0.48596  0.08690 -0.31197
   0.46787  0.08835 -0.31876
   0.44982  0.08966 -0.32594
   0.43188  0.09084 -0.33354
   0.41408  0.09185 -0.34158
   0.39645  0.09270 -0.35012
   0.37898  0.09336 -0.35923
   0.36163  0.09382 -0.36899
   0.34440  0.09409 -0.37951
   0.32729  0.09415 -0.39091
   0.31030  0.09400 -0.40331
   0.29344  0.09362 -0.41690
   0.27672  0.09303 -0.43187
   0.26016  0.09221 -0.44848
   0.24379  0.09116 -0.46706
   0.22763  0.08988 -0.48803
   0.21174  0.08836 -0.51195
   0.19615  0.08660 -0.53965
   0.18090  0.08460 -0.57240
   0.16606  0.08238 -0.61241
   0.15171  0.07995 -0.66548
   0.13796  0.07734 -0.76021
   0.12489  0.07456 -0.78171
   0.11257  0.07165 -0.78291
   0.10108  0.06865 -0.78397
   0.09046  0.06560 -0.78488
   0.08074  0.06256 -0.78564
   0.07191  0.05954 -0.78628
   0.06392  0.05658 -0.78684
   0.05672  0.05368 -0.78737
   0.05024  0.05086 -0.78799
   0.04440  0.04812 -0.78882
   0.03913  0.04546 -0.79008
   0.03438  0.04287 -0.79204
   0.03008  0.04035 -0.79525
   0.02620  0.03789 -0.80056
   0.02268  0.03549 -0.80913
   0.01949  0.03313 -0.82280
   0.01660  0.03082 -0.84449
   0.01398  0.02853 -0.87811
   0.01163  0.02626 -0.92594
   0.00950  0.02401 -0.98801
   0.00760  0.02178 -1.05972
   0.00592  0.01956 -1.12762
   0.00445  0.01734 -1.17610
   0.00319  0.01514 -1.19194
   0.00215  0.01295 -1.16749
   0.00131  0.01077 -1.09828
   0.00067  0.00859 -0.99196
   0.00023  0.00644 -0.85829
  -0.00003  0.00431 -0.70347
  -0.00011  0.00221 -0.52829
  -0.00001  0.00013 -0.33605
   0.00028 -0.00195 -0.12695
   0.00077 -0.00403  0.08021
   0.00145 -0.00612  0.27160
   0.00233 -0.00822  0.44605
   0.00343 -0.01032  0.59795
   0.00476 -0.01241  0.72646
   0.00631 -0.01448  0.82869
   0.00810 -0.01651  0.90432
   0.01013 -0.01851  0.95508
   0.01238 -0.02046  0.98523
   0.01485 -0.02238  0.99839
   0.01757 -0.02427  0.99872
   0.02054 -0.02613  0.98872
   0.02380 -0.02797  0.97118
   0.02739 -0.02980  0.94755
   0.03132 -0.03162  0.91930
   0.03564 -0.03344  0.88723
   0.04040 -0.03525  0.85287
   0.04564 -0.03706  0.81710
   0.05143 -0.03886  0.77976
   0.05784 -0.04067  0.74113
   0.06495 -0.04246  0.70212
   0.07287 -0.04424  0.66326
   0.08166 -0.04599  0.62413
   0.09140 -0.04769  0.58567
   0.10214 -0.04932  0.54826
   0.11390 -0.05084  0.51219
   0.12665 -0.05224  0.47804
   0.14035 -0.05348  0.44581
   0.15491 -0.05455  0.41575
   0.17020 -0.05543  0.38815
   0.18612 -0.05611  0.36283
   0.20258 -0.05661  0.33995
   0.21948 -0.05692  0.31897
   0.23676 -0.05705  0.29985
   0.25434 -0.05702  0.28262
   0.27219 -0.05684  0.26666
   0.29027 -0.05652  0.25206
   0.30856 -0.05607  0.23857
   0.32702 -0.05552  0.22583
   0.34565 -0.05486  0.21368
   0.36440 -0.05413  0.20164
   0.38322 -0.05331  0.18966
   0.40208 -0.05243  0.17773
   0.42093 -0.05149  0.16584
   0.43976 -0.05047  0.15437
   0.45859 -0.04936  0.14386
   0.47746 -0.04818  0.13438
   0.49642 -0.04692  0.12547
   0.51544 -0.04560  0.11700
   0.53452 -0.04423  0.10869
   0.55364 -0.04280  0.10075
   0.57279 -0.04132  0.09284
   0.59199 -0.03979  0.08506
   0.61123 -0.03823  0.07743
   0.63052 -0.03663  0.06972
   0.64985 -0.03499  0.06193
   0.66919 -0.03334  0.05376
   0.68854 -0.03165  0.04540
   0.70789 -0.02994  0.03689
   0.72725 -0.02821  0.02840
   0.74664 -0.02645  0.01956
   0.76603 -0.02467  0.01036
   0.78541 -0.02287  0.00056
   0.80477 -0.02106 -0.00949
   0.82409 -0.01923 -0.01993
   0.84336 -0.01739 -0.03099
   0.86253 -0.01554 -0.04269
   0.88153 -0.01368 -0.05528
   0.90022 -0.01184 -0.06869
   0.91844 -0.01002 -0.08268
   0.93595 -0.00824 -0.09743
   0.95244 -0.00655 -0.11291
   0.96758 -0.00498 -0.12902
   0.98112 -0.00357 -0.14752
   0.99298 -0.00231 -0.16454
   1.00000 -0.00157 -0.20045
