NACA 2415                                       
 Alfa =   8.08333 Re =    43060.563 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00157 -0.04177
   0.99318  0.00326 -0.04448
   0.98173  0.00600 -0.04914
   0.96880  0.00906 -0.05455
   0.95446  0.01238 -0.06082
   0.93889  0.01591 -0.06795
   0.92241  0.01956 -0.07592
   0.90530  0.02327 -0.08471
   0.88776  0.02697 -0.09437
   0.86990  0.03064 -0.10494
   0.85186  0.03426 -0.11649
   0.83372  0.03780 -0.12910
   0.81551  0.04126 -0.14287
   0.79724  0.04464 -0.15791
   0.77892  0.04793 -0.17429
   0.76059  0.05113 -0.19207
   0.74224  0.05423 -0.21135
   0.72388  0.05724 -0.23228
   0.70551  0.06016 -0.25509
   0.68713  0.06297 -0.28005
   0.66875  0.06569 -0.30751
   0.65038  0.06831 -0.33779
   0.63203  0.07083 -0.37115
   0.61369  0.07324 -0.40789
   0.59536  0.07554 -0.44831
   0.57704  0.07773 -0.49289
   0.55874  0.07980 -0.54250
   0.54048  0.08177 -0.59869
   0.52226  0.08361 -0.66242
   0.50409  0.08532 -0.73638
   0.48596  0.08690 -0.82563
   0.46787  0.08835 -0.94529
   0.44982  0.08966 -0.95463
   0.43188  0.09084 -0.95708
   0.41408  0.09185 -0.95941
   0.39645  0.09270 -0.96174
   0.37898  0.09336 -0.96417
   0.36163  0.09382 -0.96679
   0.34440  0.09409 -0.96970
   0.32729  0.09415 -0.97305
   0.31030  0.09400 -0.97698
   0.29344  0.09362 -0.98170
   0.27672  0.09303 -0.98748
   0.26016  0.09221 -0.99464
   0.24379  0.09116 -1.00363
   0.22763  0.08988 -1.01500
   0.21174  0.08836 -1.02949
   0.19615  0.08660 -1.04798
   0.18090  0.08460 -1.07144
   0.16606  0.08238 -1.10065
   0.15171  0.07995 -1.13573
   0.13796  0.07734 -1.17614
   0.12489  0.07456 -1.22165
   0.11257  0.07165 -1.27099
   0.10108  0.06865 -1.32228
   0.09046  0.06560 -1.37402
   0.08074  0.06256 -1.42520
   0.07191  0.05954 -1.47467
   0.06392  0.05658 -1.52176
   0.05672  0.05368 -1.56667
   0.05024  0.05086 -1.60870
   0.04440  0.04812 -1.64777
   0.03913  0.04546 -1.68416
   0.03438  0.04287 -1.71849
   0.03008  0.04035 -1.74845
   0.02620  0.03789 -1.77312
   0.02268  0.03549 -1.79318
   0.01949  0.03313 -1.80894
   0.01660  0.03082 -1.81667
   0.01398  0.02853 -1.81328
   0.01163  0.02626 -1.79679
   0.00950  0.02401 -1.76715
   0.00760  0.02178 -1.72591
   0.00592  0.01956 -1.66611
   0.00445  0.01734 -1.58017
   0.00319  0.01514 -1.46287
   0.00215  0.01295 -1.30946
   0.00131  0.01077 -1.12152
   0.00067  0.00859 -0.91100
   0.00023  0.00644 -0.68703
  -0.00003  0.00431 -0.45879
  -0.00011  0.00221 -0.22903
  -0.00001  0.00013  0.00095
   0.00028 -0.00195  0.22437
   0.00077 -0.00403  0.42759
   0.00145 -0.00612  0.60111
   0.00233 -0.00822  0.74354
   0.00343 -0.01032  0.85360
   0.00476 -0.01241  0.93139
   0.00631 -0.01448  0.97893
   0.00810 -0.01651  0.99852
   0.01013 -0.01851  0.99648
   0.01238 -0.02046  0.97760
   0.01485 -0.02238  0.94764
   0.01757 -0.02427  0.90894
   0.02054 -0.02613  0.86452
   0.02380 -0.02797  0.81744
   0.02739 -0.02980  0.76877
   0.03132 -0.03162  0.71879
   0.03564 -0.03344  0.66803
   0.04040 -0.03525  0.61846
   0.04564 -0.03706  0.57066
   0.05143 -0.03886  0.52369
   0.05784 -0.04067  0.47770
   0.06495 -0.04246  0.43390
   0.07287 -0.04424  0.39217
   0.08166 -0.04599  0.35204
   0.09140 -0.04769  0.31444
   0.10214 -0.04932  0.27964
   0.11390 -0.05084  0.24766
   0.12665 -0.05224  0.21891
   0.14035 -0.05348  0.19318
   0.15491 -0.05455  0.17043
   0.17020 -0.05543  0.15072
   0.18612 -0.05611  0.13380
   0.20258 -0.05661  0.11938
   0.21948 -0.05692  0.10713
   0.23676 -0.05705  0.09670
   0.25434 -0.05702  0.08802
   0.27219 -0.05684  0.08058
   0.29027 -0.05652  0.07433
   0.30856 -0.05607  0.06901
   0.32702 -0.05552  0.06424
   0.34565 -0.05486  0.05993
   0.36440 -0.05413  0.05561
   0.38322 -0.05331  0.05127
   0.40208 -0.05243  0.04692
   0.42093 -0.05149  0.04248
   0.43976 -0.05047  0.03840
   0.45859 -0.04936  0.03495
   0.47746 -0.04818  0.03229
   0.49642 -0.04692  0.03013
   0.51544 -0.04560  0.02830
   0.53452 -0.04423  0.02672
   0.55364 -0.04280  0.02538
   0.57279 -0.04132  0.02416
   0.59199 -0.03979  0.02308
   0.61123 -0.03823  0.02212
   0.63052 -0.03663  0.02113
   0.64985 -0.03499  0.02010
   0.66919 -0.03334  0.01889
   0.68854 -0.03165  0.01759
   0.70789 -0.02994  0.01621
   0.72725 -0.02821  0.01484
   0.74664 -0.02645  0.01333
   0.76603 -0.02467  0.01164
   0.78541 -0.02287  0.00968
   0.80477 -0.02106  0.00763
   0.82409 -0.01923  0.00542
   0.84336 -0.01739  0.00297
   0.86253 -0.01554  0.00026
   0.88153 -0.01368 -0.00281
   0.90022 -0.01184 -0.00620
   0.91844 -0.01002 -0.00976
   0.93595 -0.00824 -0.01361
   0.95244 -0.00655 -0.01775
   0.96758 -0.00498 -0.02217
   0.98112 -0.00357 -0.02742
   0.99298 -0.00231 -0.03226
   1.00000 -0.00157 -0.04177
