NACA 2415                                       
 Alfa =  16.87500 Re =    86121.125 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00157 -0.19213
   0.99318  0.00326 -0.19316
   0.98173  0.00600 -0.19490
   0.96880  0.00906 -0.19689
   0.95446  0.01238 -0.19912
   0.93889  0.01591 -0.20159
   0.92241  0.01956 -0.20425
   0.90530  0.02327 -0.20706
   0.88776  0.02697 -0.21002
   0.86990  0.03064 -0.21311
   0.85186  0.03426 -0.21630
   0.83372  0.03780 -0.21961
   0.81551  0.04126 -0.22302
   0.79724  0.04464 -0.22654
   0.77892  0.04793 -0.23018
   0.76059  0.05113 -0.23395
   0.74224  0.05423 -0.23784
   0.72388  0.05724 -0.24186
   0.70551  0.06016 -0.24604
   0.68713  0.06297 -0.25036
   0.66875  0.06569 -0.25486
   0.65038  0.06831 -0.25953
   0.63203  0.07083 -0.26440
   0.61369  0.07324 -0.26947
   0.59536  0.07554 -0.27476
   0.57704  0.07773 -0.28030
   0.55874  0.07980 -0.28611
   0.54048  0.08177 -0.29220
   0.52226  0.08361 -0.29860
   0.50409  0.08532 -0.30534
   0.48596  0.08690 -0.31246
   0.46787  0.08835 -0.32001
   0.44982  0.08966 -0.32803
   0.43188  0.09084 -0.33655
   0.41408  0.09185 -0.34561
   0.39645  0.09270 -0.35528
   0.37898  0.09336 -0.36564
   0.36163  0.09382 -0.37682
   0.34440  0.09409 -0.38894
   0.32729  0.09415 -0.40217
   0.31030  0.09400 -0.41669
   0.29344  0.09362 -0.43275
   0.27672  0.09303 -0.45067
   0.26016  0.09221 -0.47085
   0.24379  0.09116 -0.49387
   0.22763  0.08988 -0.52057
   0.21174  0.08836 -0.55233
   0.19615  0.08660 -0.59251
   0.18090  0.08460 -0.64819
   0.16606  0.08238 -0.72780
   0.15171  0.07995 -0.72900
   0.13796  0.07734 -0.73011
   0.12489  0.07456 -0.73114
   0.11257  0.07165 -0.73208
   0.10108  0.06865 -0.73295
   0.09046  0.06560 -0.73374
   0.08074  0.06256 -0.73448
   0.07191  0.05954 -0.73524
   0.06392  0.05658 -0.73610
   0.05672  0.05368 -0.73718
   0.05024  0.05086 -0.73866
   0.04440  0.04812 -0.74082
   0.03913  0.04546 -0.74407
   0.03438  0.04287 -0.74896
   0.03008  0.04035 -0.75644
   0.02620  0.03789 -0.76787
   0.02268  0.03549 -0.78502
   0.01949  0.03313 -0.81052
   0.01660  0.03082 -0.84739
   0.01398  0.02853 -0.89614
   0.01163  0.02626 -0.95657
   0.00950  0.02401 -1.02283
   0.00760  0.02178 -1.08530
   0.00592  0.01956 -1.13437
   0.00445  0.01734 -1.16018
   0.00319  0.01514 -1.15294
   0.00215  0.01295 -1.10881
   0.00131  0.01077 -1.02305
   0.00067  0.00859 -0.90368
   0.00023  0.00644 -0.76020
  -0.00003  0.00431 -0.59914
  -0.00011  0.00221 -0.42091
  -0.00001  0.00013 -0.22890
   0.00028 -0.00195 -0.02309
   0.00077 -0.00403  0.17636
   0.00145 -0.00612  0.35832
   0.00233 -0.00822  0.52331
   0.00343 -0.01032  0.66413
   0.00476 -0.01241  0.77948
   0.00631 -0.01448  0.87036
   0.00810 -0.01651  0.93392
   0.01013 -0.01851  0.97431
   0.01238 -0.02046  0.99478
   0.01485 -0.02238  0.99994
   0.01757 -0.02427  0.99311
